-200027.65185169, 165600.18303191,-520986.79829188
-7510.85012196, 511.49575074, 7801.95376238
 145112.70355451,-106119.73523436, 53717.3988475
-238554.04915903,-245155.25421074,-27555.75331099
 12115.14896859,-8817.60167387, 2401.93212477
 19283.4595995,-255289.69917709,-97305.71375088
-5921.63701912,-1115.8420887, 6942.83437032
 80906.19070479,-306455.79094415,-83210.26031218
-164294.35466683,-33758.11650552,-282549.48544429
-44265.13294808, 17819.18277906, 8693.77015421
-91211.42284464,-133661.19208794,-113769.24975628
-400963.35568122, 151316.19520145,-254647.50176921
-645990.10765213,-190025.80534687,-266918.33896712
-285798.24145671,-216665.17480187, 16579.97404102
 57216.31857258, 4059.62999262, 26450.67240143
-101190.43611542,-25691.42926342,-181546.49490195
 141778.46292736,-118258.51210477, 204646.14317245
 133295.96590649, 65478.14051271, 163868.18808978
-192084.16841456,-947.75403783, 510014.64335193
-3588.69326245, 2669.82316412,-3282.4604147
 188245.82685693,-578078.18105667, 280390.06805316
 157264.8634458,-595569.25483788, 316058.81257558
 599287.23449274,-121426.51531664, 136493.61275844
 30489.50721529,-244031.20205323, 42629.37763264
-2612.89085183, 41345.29556667, 161213.20730391
-23072.40993098,-108412.36718349, 117968.99910145
 814.74302661,-357.22965956, 320.18031584
-265620.83630563, 433206.01405525, 523113.05799297
-126983.28779685,-50626.34700287,-323799.54604149
-184715.39314705, 259075.88945435, 452283.05947038
-601844.34577758,-358321.17315382,-1476.45500584
-170910.48003387,-469904.22482632, 399967.68308021
 231543.54309637, 296110.6746058, 130156.45125244
-43320.9820754,-20290.4498379, 59847.49324559
-95841.07568607,-145627.04458673, 92050.39794912
-62198.1596895, 66577.50872125, 778640.62674136
-69441.91793156, 166962.21495855, 446444.08589464
 135986.24479764,-219706.90480005, 83511.79092524
-93307.19311992, 48784.59291364, 28384.2021818
-162790.81420956,-393141.62272237,-546365.96100373
-71752.66830997, 15660.04452979,-57639.2849581
-4007.15602735, 10048.66144384,-9215.35454595
 688377.41172374,-251120.37785886, 168369.86202401
-67366.31581257, 194229.87642933, 350549.81303113
-18345.68216323, 63308.57658893,-27187.12680859
-2989.80562766,-16160.9680261, 848.33321172
 4391.42908942, 9819.94363534,-3794.54533304
 4536.22304473,-70986.23545248,-18288.2120983
-294990.78147187, 495.07321594,-103778.78208004
-114544.92256602,-1318.07521089, 133524.66307966
-586805.30322557,-17812.485982,-33833.792691
-528151.30373396, 144301.69294441, 465605.5740576
-88676.08991007,-378696.7487662,-14293.21674508
 297231.33409553, 428050.27950224,-306788.69966596
